日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/01/03,"15,416,016","1,294,730,044",83.70,84.30,83.70,84.30,+0.10,"8,066"
106/01/04,"23,873,107","2,015,096,108",84.30,84.60,84.20,84.20,-0.10,"11,491"
106/01/05,"25,436,380","2,138,359,820",84.40,84.50,83.80,84.00,-0.20,"10,638"
106/01/06,"23,040,962","1,935,817,593",84.50,84.50,83.80,83.80,-0.20,"8,135"
106/01/09,"16,896,424","1,415,345,372",84.10,84.30,83.50,83.50,-0.30,"8,054"
106/01/10,"15,941,071","1,337,490,566",83.90,84.10,83.60,84.00,+0.50,"6,474"
106/01/11,"28,156,161","2,363,577,420",84.40,84.40,83.40,84.20,+0.20,"12,424"
106/01/12,"29,006,144","2,443,370,656",84.20,84.40,83.60,84.30,+0.10,"12,028"
106/01/13,"22,849,300","1,923,697,754",84.30,84.40,83.90,84.20,-0.10,"8,941"
106/01/16,"16,511,152","1,379,370,729",84.00,84.00,83.50,83.50,-0.70,"7,378"
106/01/17,"14,589,273","1,222,155,239",83.80,84.00,83.50,84.00,+0.50,"8,228"
106/01/18,"19,363,976","1,622,184,471",84.00,84.10,83.30,83.30,-0.70,"8,782"
106/01/19,"25,925,225","2,163,893,353",83.30,83.80,83.00,83.50,+0.20,"7,824"
106/01/20,"20,360,487","1,702,872,266",84.00,84.00,83.40,83.40,-0.10,"7,397"
106/01/23,"27,882,026","2,334,639,337",83.50,84.00,83.40,84.00,+0.60,"10,370"
106/01/24,"25,450,490","2,131,316,435",83.60,84.00,83.60,83.70,-0.30,"9,903"
106/02/02,"76,617,425","6,472,870,782",85.70,85.70,83.20,84.10,+0.40,"24,016"
106/02/03,"42,945,286","3,593,104,469",83.80,84.10,83.50,83.70,-0.40,"12,623"
106/02/06,"46,842,855","3,962,892,826",84.20,85.00,84.00,85.00,+1.30,"17,113"
106/02/07,"59,870,842","5,110,915,805",85.50,85.80,84.60,85.80,+0.80,"25,510"
106/02/08,"102,312,901","8,910,275,137",86.00,87.50,85.80,87.50,+1.70,"42,662"
106/02/09,"96,976,966","8,569,636,686",88.00,88.90,87.70,88.90,+1.40,"39,691"
106/02/10,"83,062,758","7,412,105,000",89.00,89.80,88.50,89.10,+0.20,"29,589"
106/02/13,"53,359,488","4,778,802,967",89.40,89.90,88.80,89.90,+0.80,"23,985"
106/02/14,"74,367,260","6,710,505,927",90.60,90.70,89.60,90.00,+0.10,"27,450"
106/02/15,"75,728,893","6,864,474,320",90.50,91.00,90.10,90.90,+0.90,"34,106"
106/02/16,"48,156,002","4,374,391,419",91.50,91.80,90.00,91.00,+0.10,"22,560"
106/02/17,"30,377,696","2,743,524,430",90.40,90.90,90.00,90.00,-1.00,"13,910"
106/02/18,"11,328,885","1,018,267,228",90.00,90.30,89.60,89.90,-0.10,"6,379"
106/02/20,"27,647,407","2,488,888,596",90.00,90.20,89.80,90.10,+0.20,"11,128"
106/02/21,"34,779,702","3,138,985,880",91.00,91.00,89.80,90.50,+0.40,"14,733"
106/02/22,"28,270,434","2,553,170,679",90.70,90.90,90.00,90.50, 0.00,"12,293"
106/02/23,"34,602,145","3,107,744,965",89.80,90.70,89.80,90.30,-0.20,"15,393"
106/02/24,"31,979,264","2,868,819,560",89.80,90.30,89.50,89.50,-0.80,"11,226"
106/03/01,"31,754,685","2,843,694,825",90.40,90.40,89.00,89.00,-0.50,"12,438"
106/03/02,"34,409,022","3,078,002,774",90.10,90.30,88.80,89.60,+0.60,"14,812"
106/03/03,"30,052,960","2,678,443,882",89.70,89.70,88.60,88.80,-0.80,"13,828"
106/03/06,"18,565,873","1,658,642,390",88.80,89.90,88.50,89.90,+1.10,"9,788"
106/03/07,"30,330,547","2,737,855,930",89.90,90.70,89.60,90.50,+0.60,"12,023"
106/03/08,"35,419,144","3,211,508,172",90.80,91.00,90.10,90.70,+0.20,"16,612"
106/03/09,"34,394,387","3,082,605,966",90.20,90.30,89.30,89.30,-1.40,"16,129"
106/03/10,"37,663,397","3,343,082,943",88.90,90.00,88.00,89.90,+0.60,"18,104"
106/03/13,"15,412,711","1,385,569,944",90.20,90.20,89.50,90.00,+0.10,"8,214"
106/03/14,"20,693,907","1,866,210,292",90.00,90.50,89.90,90.00, 0.00,"9,241"
106/03/15,"17,686,039","1,594,078,973",89.90,90.40,89.70,90.10,+0.10,"7,119"
106/03/16,"38,964,860","3,541,630,968",90.50,91.40,90.40,90.90,+0.80,"16,018"
106/03/17,"46,804,330","4,271,848,230",91.30,91.40,91.00,91.40,+0.50,"15,014"
106/03/20,"17,142,588","1,563,641,403",91.30,91.40,90.90,91.30,-0.10,"7,780"
106/03/21,"30,747,643","2,814,560,813",91.30,91.80,91.30,91.50,+0.20,"13,482"
106/03/22,"24,413,564","2,221,365,653",90.80,91.50,90.50,91.50, 0.00,"11,261"
106/03/23,"17,899,814","1,634,367,031",91.70,91.70,90.80,91.30,-0.20,"7,767"
106/03/24,"19,735,987","1,789,859,062",90.50,91.00,90.50,90.60,-0.70,"8,622"
106/03/27,"29,369,059","2,655,857,538",90.00,91.00,89.80,90.50,-0.10,"9,238"
106/03/28,"27,414,860","2,493,639,344",90.90,91.30,90.60,91.20,+0.70,"10,444"
106/03/29,"23,560,292","2,153,907,567",91.70,91.80,91.00,91.50,+0.30,"9,941"
106/03/30,"18,735,651","1,713,186,220",91.50,91.60,91.20,91.40,-0.10,"8,275"
106/03/31,"27,342,579","2,497,432,289",91.40,91.60,91.00,91.00,-0.40,"10,014"
106/04/05,"173,212,521","16,816,271,593",96.00,98.40,95.60,98.00,+7.00,"65,284"
106/04/06,"64,742,520","6,306,242,440",98.20,98.60,96.70,97.30,-0.70,"28,196"
106/04/07,"63,423,890","6,103,584,140",97.00,97.70,95.20,96.10,-1.20,"26,829"
106/04/10,"38,875,090","3,735,940,322",96.00,96.50,95.60,96.50,+0.40,"15,449"
106/04/11,"47,063,021","4,565,073,597",96.90,97.60,96.50,96.90,+0.40,"17,601"
106/04/12,"40,250,876","3,907,517,072",97.40,97.40,96.60,97.30,+0.40,"12,909"
106/04/13,"61,732,380","6,081,861,240",97.70,99.30,97.50,98.50,+1.20,"24,052"
106/04/14,"35,856,577","3,485,429,838",97.70,97.80,96.70,96.70,-1.80,"19,032"
106/04/17,"28,643,429","2,763,636,567",96.70,97.30,95.60,97.30,+0.60,"12,638"
106/04/18,"15,171,170","1,475,163,192",97.90,98.00,96.80,97.00,-0.30,"7,499"
106/04/19,"30,855,048","2,962,867,825",96.50,96.50,95.80,95.80,-1.20,"15,150"
106/04/20,"25,323,453","2,426,738,681",96.00,96.20,95.50,96.00,+0.20,"10,313"
106/04/21,"14,639,568","1,413,842,714",96.20,96.80,96.20,96.50,+0.50,"7,480"
106/04/24,"15,423,557","1,495,593,053",97.70,97.70,96.50,97.00,+0.50,"8,028"
106/04/25,"35,547,278","3,471,374,151",97.70,97.90,97.10,97.90,+0.90,"16,594"
106/04/26,"39,698,091","3,904,120,029",98.70,98.70,98.00,98.20,+0.30,"16,082"
106/04/27,"26,801,673","2,632,612,454",98.30,98.50,97.90,98.30,+0.10,"8,899"
106/04/28,"47,126,861","4,647,125,530",98.50,99.50,98.00,98.80,+0.50,"18,956"
106/05/02,"146,011,742","14,600,738,067",99.80,100.50,99.80,100.00,+1.20,"25,883"
106/05/03,"43,599,757","4,389,370,200",100.00,101.50,100.00,100.50,+0.50,"20,474"
106/05/04,"27,758,737","2,793,177,700",100.50,101.00,100.00,100.50, 0.00,"15,032"
106/05/05,"22,247,391","2,231,793,100",100.00,101.00,100.00,100.00,-0.50,"11,274"
106/05/08,"23,208,376","2,337,152,395",101.00,101.50,100.00,101.00,+1.00,"10,786"
106/05/09,"106,299,570","11,089,336,210",102.00,105.50,101.50,104.00,+3.00,"41,750"
106/05/10,"44,982,960","4,687,034,453",105.50,105.50,103.00,104.00, 0.00,"22,963"
